ymd,high,low,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel
2011-01-01,6,2,多云~雨夹雪,北风,4-5级,,,
2011-01-02,6,2,多云,北风,4-5级,,,
2011-01-03,7,2,多云~阴,东北风,3-4级,,,
2011-01-04,6,1,小雨,北风,4-5级,,,
2011-01-05,5,0,阴~多云,北风,4-5级,,,
2011-01-06,6,0,多云,北风,3-4级,,,
2011-01-07,7,2,多云,北风,4-5级,,,
2011-01-08,7,4,多云~阴,东北风,3-4级,,,
2011-01-09,7,0,阴~多云,北风,3-4级,,,
2011-01-10,5,0,多云~阴,东北风~东风,4-5级~3-4级,,,
2011-01-11,6,2,多云,东风,3-4级,,,
2011-01-12,7,3,多云~阴,东北风,3-4级,,,
2011-01-13,6,0,阴~多云,东北风,4-5级,,,
2011-01-14,5,-2,多云,北风,4-5级,,,
2011-01-15,3,-1,多云,北风~东北风,4-5级,,,
2011-01-16,4,0,多云~阴,东北风,4-5级~3-4级,,,
2011-01-26,7,2,阴,东北风,3-4级,,,
2011-01-29,4,-2,晴~多云,北风,4-5级,,,
2011-01-30,4,-3,多云~晴,西北风,4-5级~3-4级,,,
2011-01-31,7,-2,晴,西北风,微风~3-4级,,,
2012-01-01,9,4,多云,北风~东北风,4-5级~3-4级,,,
2012-01-02,8,3,多云~阴,西北风,微风~3-4级,,,
2012-01-03,6,0,阴~多云,西北风,4-5级,,,
2012-01-04,4,-1,晴,西北风,4-5级~3-4级,,,
2012-01-05,5,1,多云~阴,北风,3-4级,,,
2012-01-06,7,4,阴~多云,东北风,3-4级,,,
2012-01-07,8,5,多云~阴,东北风,3-4级,,,
2012-01-08,8,5,小雨,东北风,3-4级,,,
2012-01-09,9,5,阴,东北风,3-4级,,,
2012-01-10,9,5,阴,东北风,3-4级,,,
2012-01-11,8,2,阴,北风,4-5级,,,
2012-01-12,8,4,多云,东风,3-4级,,,
2012-01-13,9,5,阴~小雨,东风,3-4级,,,
2012-01-14,6,4,中雨,东北风,3-4级,,,
2012-01-16,9,4,阴~多云,东北风~东风,3-4级,,,
2012-01-17,10,5,多云~阴,东北风~东风,3-4级,,,
2012-01-18,10,7,小雨,东风,3-4级,,,
2012-01-19,9,6,小雨~阴,东北风,4-5级,,,
2012-01-20,9,5,阴~小雨,北风,4-5级,,,
2012-01-21,6,1,小雨~雨夹雪,北风,4-5级,,,
2012-01-22,4,-1,小雪~阴,北风,4-5级,,,
2012-01-23,4,-2,多云,北风,4-5级~3-4级,,,
2012-01-24,4,-2,多云,北风,3-4级,,,
2012-01-25,4,-1,晴,西北风~北风,3-4级,,,
2012-01-26,7,-1,晴~多云,东南风~南风,3-4级,,,
2012-01-27,9,5,小雨,东北风,3-4级,,,
2012-01-28,8,4,小雨~阴,东北风,4-5级,,,
2012-01-29,9,3,多云~小雨,东北风,4-5级,,,
2012-01-30,8,2,多云,东北风,3-4级,,,
2012-01-31,10,2,多云~晴,南风~北风,3-4级~4-5级,,,
2013-01-01,9,1,晴,西北风~北风,3-4级,,,
2013-01-02,9,1,多云~阴,北风,4-5级,,,
2013-01-03,0,-2,小雪~阴,北风,4-5级~3-4级,,,
2013-01-04,3,0,雨夹雪,北风,3-4级,,,
2013-01-05,5,2,阴~雨夹雪,北风,3-4级,,,
2013-01-06,5,1,雨夹雪,东北风,3-4级,,,
2013-01-07,5,1,雨夹雪~阴,北风,3-4级,,,
2013-01-08,6,2,多云~阴,北风,3-4级,,,
2013-01-09,7,0,多云~晴,北风,4-5级,,,
2013-01-10,6,1,晴,北风~东北风,3-4级,,,
2013-01-11,9,2,多云~阴,东风~南风,3-4级,,,
2013-01-12,10,4,多云~中雨,东北风~东风,3-4级,,,
2013-01-13,7,3,小到中雨~多云,东北风,4-5级~3-4级,,,
2013-01-14,10,3,晴,北风,3-4级,,,
2013-01-15,9,3,多云~晴,东风~东南风,微风,,,
2013-01-16,7,1,多云,西北风~北风,3-4级~4-5级,,,
2013-01-17,5,-1,多云,北风~东北风,4-5级~3-4级,,,
2013-01-18,6,0,晴,北风,3-4级,,,
2013-01-19,10,6,晴~多云,东南风,3-4级~4-5级,,,
2013-01-20,14,8,阴~小雨,东南风,3-4级,,,
2013-01-21,10,4,小雨,西北风,4-5级,,,
2013-01-22,6,2,小雨~多云,西北风,3-4级,,,
2013-01-23,8,3,多云,西北风,3-4级,,,
2013-01-24,11,1,多云,西北风,4-5级,,,
2013-01-25,9,1,晴,西风~南风,3-4级,,,
2013-01-26,11,2,多云,西风~东北风,3-4级,,,
2013-01-27,9,1,晴,东北风~东南风,3-4级,,,
2013-01-28,11,6,晴~多云,东南风,3-4级,,,
2013-01-29,14,6,阴~晴,东南风,3-4级,,,
2013-01-30,15,9,晴~多云,东南风,3-4级,,,
2013-01-31,17,10,小雨,东南风~南风,4-5级,,,
2014-01-01,14,5,晴,西风,3-4级,,,
2014-01-02,16,8,晴~多云,东南风,3-4级,,,
2014-01-03,14,6,多云,北风,3-4级,,,
2014-01-04,10,3,多云~晴,西北风~北风,3-4级,,,
2014-01-05,10,5,晴~多云,东北风~东风,3-4级,,,
2014-01-06,11,8,多云,东南风,3-4级,,,
2014-01-07,12,6,小雨~中雨,东南风,3-4级~4-5级,,,
2014-01-08,8,2,小雨,西北风~北风,4-5级,,,
2014-01-09,5,0,多云,北风,4-5级,,,
2014-01-10,8,4,晴~阴,东风,3-4级,,,
2014-01-11,8,4,小雨,东风~东北风,3-4级,,,
2014-01-12,7,3,小雨~阴,北风,3-4级,,,
2014-01-13,7,2,多云,北风~东北风,3-4级,,,
2014-01-14,8,2,多云~晴,东北风,3-4级,,,
2014-01-15,8,3,晴,东北风,3-4级,,,
2014-01-16,10,3,多云,西北风~东南风,3-4级,,,
2014-01-17,11,3,晴,西北风,微风,,,
2014-01-18,9,2,晴,西北风~北风,3-4级,,,
2014-01-19,10,3,晴,东南风~西南风,3-4级,,,
2014-01-20,10,1,晴,西北风,4-5级,,,
2014-01-21,6,0,晴,西北风,4-5级~3-4级,,,
2014-01-22,6,1,晴,北风~东南风,3-4级,,,
2014-01-23,11,6,晴,南风,3-4级,,,
2014-01-24,16,8,晴~多云,南风,4-5级,,,
2014-01-25,17,6,多云,西南风~北风,4-5级,,,
2014-01-26,10,4,多云,东北风~东风,4-5级~3-4级,,,
2014-01-27,13,6,晴,东南风,3-4级,,,
2014-01-28,14,7,多云~阴,东北风~东南风,3-4级,,,
2014-01-29,14,8,小雨~阴,东南风~西风,3-4级,,,
2014-01-30,16,10,多云~晴,南风~东南风,3-4级,,,
2014-01-31,18,12,晴,东南风~南风,3-4级,,,
2015-01-01,4,-1,晴,西北风,3-4级~微风,,,
2015-01-02,8,0,晴~多云,西风~西南风,微风,,,
2015-01-03,11,4,多云~晴,南风,微风,,,
2015-01-04,16,5,晴,西南风~东南风,微风,,,
2015-01-05,19,9,多云~小雨,南风~西北风,微风,,,
2015-01-06,9,3,小雨,北风,微风,,,
2015-01-07,7,2,多云~晴,西北风,微风,,,
2015-01-08,8,1,晴~多云,西北风,微风,,,
2015-01-09,11,3,晴,西风~西北风,微风,,,
2015-01-10,13,5,多云~晴,西风,微风,,,
2015-01-11,13,5,晴~多云,北风~东北风,微风,,,
2015-01-12,9,6,多云~阴,东北风,微风,,,
2015-01-13,10,7,小雨~中雨,东北风,微风,,,
2015-01-14,9,6,小雨~阴,北风,微风,,,
2015-01-15,9,4,小雨~多云,西北风,微风,,,
2015-01-16,10,4,多云,西北风~北风,微风,,,
2015-01-17,7,3,多云,北风~东北风,微风,,,
2015-01-18,10,3,多云~晴,西风~西北风,微风,,,
2015-01-19,10,4,晴~多云,西北风~东北风,微风,,,
2015-01-20,11,7,阴~小雨,东南风~南风,微风,,,
2015-01-21,14,3,多云,西风~西北风,微风,,,
2015-01-22,8,2,阴~多云,西北风,微风,,,
2015-01-23,10,4,晴,东南风,微风,,,
2015-01-24,15,7,多云,东南风,微风,,,
2015-01-25,15,8,小雨,西北风,微风,,,
2015-01-26,11,5,小雨,北风,微风,,,
2015-01-27,7,3,小雨~雨夹雪,东北风,3-4级,,,
2015-01-28,5,3,雨夹雪~小雨,东北风,微风,,,
2015-01-29,6,2,小雨,东北风~北风,微风,,,
2015-01-30,5,2,阴~多云,北风,3-4级~微风,,,
2015-01-31,6,3,多云~阴,西北风~北风,微风,,,
2016-01-01,12,4,晴~多云,东南风,微风,89,良,2
2016-01-02,16,9,多云~小雨,西南风,微风,167,中度污染,4
2016-01-03,15,10,小雨,东南风,微风,210,重度污染,5
2016-01-04,15,9,小雨~中雨,东北风,微风,144,轻度污染,3
2016-01-05,10,7,小雨,东北风,3-4级,46,优,1
2016-01-06,9,5,小雨~多云,东北风,微风,81,良,2
2016-01-07,9,4,阴~多云,北风,微风,110,轻度污染,3
2016-01-08,8,3,多云,西北风,微风,126,轻度污染,3
2016-01-09,9,4,多云~阴,东风,微风,149,轻度污染,3
2016-01-10,10,7,小雨~中雨,东风,微风,78,良,2
2016-01-11,8,4,小雨,东北风,3-4级,47,优,1
2016-01-12,6,1,阴~多云,北风,微风,67,良,2
2016-01-13,5,0,多云,西北风,微风,189,中度污染,4
2016-01-14,7,1,多云,西风,微风,229,重度污染,5
2016-01-15,10,4,晴~多云,西风,微风,180,中度污染,4
2016-01-16,10,4,多云~小雨,东风,微风,157,中度污染,4
2016-01-17,8,3,小雨~多云,北风,3-4级,169,中度污染,4
2016-01-18,5,-1,多云~晴,西北风,3-4级,128,轻度污染,3
2016-01-19,4,-1,晴~多云,北风,微风,71,良,2
2016-01-20,5,1,阴~雨夹雪,东北风,微风,31,优,1
2016-01-21,4,2,雨夹雪,东北风,微风,34,优,1
2016-01-22,5,1,小雨~雨夹雪,东北风,3-4级,76,良,2
2016-01-23,0,-7,多云~晴,西北风,4-5级,58,良,2
2016-01-24,-4,-7,晴,西北风,4-5级,59,良,2
2016-01-25,2,-6,晴,西风,3-4级,67,良,2
2016-01-26,6,-2,晴~阴,西南风,微风,96,良,2
2016-01-27,7,4,小雨~中雨,东风,微风,48,优,1
2016-01-28,9,6,小雨~中雨,北风,微风,48,优,1
2016-01-29,8,4,小雨,东北风,3-4级,47,优,1
2016-01-30,7,3,小雨~阴,北风,微风,56,良,2
2016-01-31,5,1,雨夹雪,北风,微风,77,良,2
2017-01-01,16,10,晴~多云,东南风,1-2级,54,良,2
2017-01-02,15,8,多云,北风,1-2级,92,良,2
2017-01-03,14,9,晴~多云,东风,1-2级,131,轻度污染,3
2017-01-04,15,11,小雨~中雨,东风,1-2级,75,良,2
2017-01-05,12,11,中雨~小雨,东风,1-2级,44,优,1
2017-01-06,14,11,小雨~中雨,东风,1-2级,36,优,1
2017-01-07,13,9,小雨,东风,1-2级,29,优,1
2017-01-08,10,5,小雨~阴,西北风,3-4级,105,轻度污染,3
2017-01-09,8,4,多云,北风,1-2级,82,良,2
2017-01-10,9,6,多云~阴,北风,1-2级,109,轻度污染,3
2017-01-11,9,5,小雨,东北风,1-2级,50,优,1
2017-01-12,8,3,小雨~多云,西北风,1-2级,72,良,2
2017-01-13,11,2,晴,西北风,1-2级,127,轻度污染,3
2017-01-14,8,3,多云~阴,北风,1-2级,47,优,1
2017-01-15,7,2,多云,东北风,1-2级,27,优,1
2017-01-16,8,5,多云,东北风,1-2级,31,优,1
2017-01-17,10,7,阴~小雨,东风,1-2级,58,良,2
2017-01-18,9,7,小雨,东风,1-2级,50,优,1
2017-01-19,9,0,小雨~阴,北风,1-2级,102,轻度污染,3
2017-01-20,3,-1,晴~多云,西北风,3-4级,103,轻度污染,3
2017-01-21,6,0,晴~多云,西风,1-2级,48,优,1
2017-01-22,6,0,晴,西北风,1-2级,70,良,2
2017-01-23,7,1,晴,北风,1-2级,39,优,1
2017-01-24,9,3,多云,东北风,1-2级,40,优,1
2017-01-25,10,4,多云~晴,东风,1-2级,75,良,2
2017-01-26,13,5,晴~多云,南风,1-2级,77,良,2
2017-01-27,10,5,多云,东北风,3-4级,77,良,2
2017-01-28,15,8,多云,东南风,1-2级,63,良,2
2017-01-29,20,4,多云~小雨,西南风,1-2级,82,良,2
2017-01-30,6,2,多云,北风,3-4级,42,优,1
2017-01-31,7,3,多云~小雨,东北风,1-2级,26,优,1
